combination_id,product_name,Size,Paper Type,Window,Printed Side,Quantity,Printing Time,price,total_price,unit_price,qty_pieces,turnaround_days,Size_id,Paper Type_id,Window_id,Printed Side_id,Quantity_id,Printing Time_id,timestamp,notes
1,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,No,Outside Only,250,6 Business Days,$124.23,$124.23,0.49692,250,0,35162,626,35056,627,16331,642,2025-09-02T17:25:31.534310,Extracted using real API endpoints
2,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,No,Outside Only,250,4 Business Days,$124.23,$124.23,0.49692,250,0,35162,626,35056,627,16331,35240,2025-09-02T17:25:32.303339,Extracted using real API endpoints
3,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,No,Outside Only,500,6 Business Days,$130.21,$130.21,0.26042,500,0,35162,626,35056,627,628,642,2025-09-02T17:25:32.723363,Extracted using real API endpoints
4,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,No,Outside Only,500,4 Business Days,$130.21,$130.21,0.26042,500,0,35162,626,35056,627,628,35240,2025-09-02T17:25:33.476606,Extracted using real API endpoints
5,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,No,Outside Only,"1,000",6 Business Days,$147.49,$147.49,0.14749,1000,0,35162,626,35056,627,629,642,2025-09-02T17:25:33.886931,Extracted using real API endpoints
6,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,No,Outside Only,"1,000",4 Business Days,$147.49,$147.49,0.14749,1000,0,35162,626,35056,627,629,35240,2025-09-02T17:25:34.632673,Extracted using real API endpoints
7,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,No,Outside Only,"2,000",6 Business Days,$213.00,$213.00,0.10650,2000,0,35162,626,35056,627,630,642,2025-09-02T17:25:35.575810,Extracted using real API endpoints
8,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,No,Outside Only,"2,000",4 Business Days,$213.00,$213.00,0.10650,2000,0,35162,626,35056,627,630,35240,2025-09-02T17:25:36.491937,Extracted using real API endpoints
9,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,No,Outside Only,"2,500",6 Business Days,$257.85,$257.85,0.10314,2500,0,35162,626,35056,627,107484,642,2025-09-02T17:25:37.242731,Extracted using real API endpoints
10,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,No,Outside Only,"2,500",4 Business Days,$257.85,$257.85,0.10314,2500,0,35162,626,35056,627,107484,35240,2025-09-02T17:25:37.989869,Extracted using real API endpoints
11,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,No,Outside Only,"3,000",6 Business Days,$269.77,$269.77,0.08992,3000,0,35162,626,35056,627,631,642,2025-09-02T17:25:38.915756,Extracted using real API endpoints
12,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,No,Outside Only,"3,000",4 Business Days,$269.77,$269.77,0.08992,3000,0,35162,626,35056,627,631,35240,2025-09-02T17:25:39.320810,Extracted using real API endpoints
13,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,No,Outside Only,"4,000",6 Business Days,$321.28,$321.28,0.08032,4000,0,35162,626,35056,627,632,642,2025-09-02T17:25:39.732401,Extracted using real API endpoints
14,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,No,Outside Only,"4,000",4 Business Days,$321.28,$321.28,0.08032,4000,0,35162,626,35056,627,632,35240,2025-09-02T17:25:40.146571,Extracted using real API endpoints
15,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,No,Outside Only,"5,000",6 Business Days,$372.78,$372.78,0.07456,5000,0,35162,626,35056,627,633,642,2025-09-02T17:25:40.561586,Extracted using real API endpoints
16,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,No,Outside Only,"5,000",4 Business Days,$372.78,$372.78,0.07456,5000,0,35162,626,35056,627,633,35240,2025-09-02T17:25:40.977789,Extracted using real API endpoints
17,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,No,Outside Only,"6,000",6 Business Days,$424.29,$424.29,0.07072,6000,0,35162,626,35056,627,634,642,2025-09-02T17:25:41.906725,Extracted using real API endpoints
18,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,No,Outside Only,"6,000",4 Business Days,$424.29,$424.29,0.07072,6000,0,35162,626,35056,627,634,35240,2025-09-02T17:25:42.308738,Extracted using real API endpoints
19,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,No,Outside Only,"7,000",6 Business Days,$471.18,$471.18,0.06731,7000,0,35162,626,35056,627,635,642,2025-09-02T17:25:42.709171,Extracted using real API endpoints
20,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,No,Outside Only,"7,000",4 Business Days,$471.18,$471.18,0.06731,7000,0,35162,626,35056,627,635,35240,2025-09-02T17:25:43.636566,Extracted using real API endpoints
21,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,No,Outside Only,"8,000",6 Business Days,$514.12,$514.12,0.06427,8000,0,35162,626,35056,627,636,642,2025-09-02T17:25:44.046157,Extracted using real API endpoints
22,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,No,Outside Only,"8,000",4 Business Days,$514.12,$514.12,0.06427,8000,0,35162,626,35056,627,636,35240,2025-09-02T17:25:44.452917,Extracted using real API endpoints
23,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,No,Outside Only,"9,000",6 Business Days,$557.06,$557.06,0.06190,9000,0,35162,626,35056,627,637,642,2025-09-02T17:25:44.855815,Extracted using real API endpoints
24,#9 Envelopes,"#9 (3.875"" x 8.875"")",70 lb. Paper Uncoated,No,Outside Only,"9,000",4 Business Days,$557.06,$557.06,0.06190,9000,0,35162,626,35056,627,637,35240,2025-09-02T17:25:45.264701,Extracted using real API endpoints
