combination_id,product_name,Size,Paper,Printed Side,Die-Cutting,Scoring,Quantity,Printing Time,price,total_price,unit_price,qty_pieces,turnaround_days,Size_id,Paper_id,Printed Side_id,Die-Cutting_id,Scoring_id,Quantity_id,Printing Time_id,timestamp,notes
1,Bottle Neck Hang Tags,"2.125"" x 5""",14 pt. Cardstock Gloss,Front Only,Bottle Necker,With Scoring,25,6 Business Days,$40.26,$40.26,1.61040,25,0,176770,176771,176776,176778,176779,176780,176799,2025-09-04T13:58:29.912692,Extracted using real API endpoints
2,Bottle Neck Hang Tags,"2.125"" x 5""",14 pt. Cardstock Gloss,Front Only,Bottle Necker,With Scoring,25,4 Business Days,$40.26,$40.26,1.61040,25,0,176770,176771,176776,176778,176779,176780,176800,2025-09-04T13:58:30.661402,Extracted using real API endpoints
3,Bottle Neck Hang Tags,"2.125"" x 5""",14 pt. Cardstock Gloss,Front Only,Bottle Necker,With Scoring,50,6 Business Days,$44.62,$44.62,0.89240,50,0,176770,176771,176776,176778,176779,176781,176799,2025-09-04T13:58:31.422266,Extracted using real API endpoints
4,Bottle Neck Hang Tags,"2.125"" x 5""",14 pt. Cardstock Gloss,Front Only,Bottle Necker,With Scoring,50,4 Business Days,$44.62,$44.62,0.89240,50,0,176770,176771,176776,176778,176779,176781,176800,2025-09-04T13:58:32.192338,Extracted using real API endpoints
5,Bottle Neck Hang Tags,"2.125"" x 5""",14 pt. Cardstock Gloss,Front Only,Bottle Necker,With Scoring,75,6 Business Days,$47.30,$47.30,0.63067,75,0,176770,176771,176776,176778,176779,176782,176799,2025-09-04T13:58:32.598494,Extracted using real API endpoints
6,Bottle Neck Hang Tags,"2.125"" x 5""",14 pt. Cardstock Gloss,Front Only,Bottle Necker,With Scoring,75,4 Business Days,$47.30,$47.30,0.63067,75,0,176770,176771,176776,176778,176779,176782,176800,2025-09-04T13:58:33.397338,Extracted using real API endpoints
7,Bottle Neck Hang Tags,"2.125"" x 5""",14 pt. Cardstock Gloss,Front Only,Bottle Necker,With Scoring,100,6 Business Days,$53.33,$53.33,0.53330,100,0,176770,176771,176776,176778,176779,176783,176799,2025-09-04T13:58:33.791108,Extracted using real API endpoints
8,Bottle Neck Hang Tags,"2.125"" x 5""",14 pt. Cardstock Gloss,Front Only,Bottle Necker,With Scoring,100,4 Business Days,$53.33,$53.33,0.53330,100,0,176770,176771,176776,176778,176779,176783,176800,2025-09-04T13:58:34.555984,Extracted using real API endpoints
9,Bottle Neck Hang Tags,"2.125"" x 5""",14 pt. Cardstock Gloss,Front Only,Bottle Necker,With Scoring,150,6 Business Days,$72.13,$72.13,0.48087,150,0,176770,176771,176776,176778,176779,176784,176799,2025-09-04T13:58:34.958640,Extracted using real API endpoints
10,Bottle Neck Hang Tags,"2.125"" x 5""",14 pt. Cardstock Gloss,Front Only,Bottle Necker,With Scoring,150,4 Business Days,$72.13,$72.13,0.48087,150,0,176770,176771,176776,176778,176779,176784,176800,2025-09-04T13:58:35.373636,Extracted using real API endpoints
11,Bottle Neck Hang Tags,"2.125"" x 5""",14 pt. Cardstock Gloss,Front Only,Bottle Necker,With Scoring,200,6 Business Days,$90.92,$90.92,0.45460,200,0,176770,176771,176776,176778,176779,176785,176799,2025-09-04T13:58:35.782460,Extracted using real API endpoints
12,Bottle Neck Hang Tags,"2.125"" x 5""",14 pt. Cardstock Gloss,Front Only,Bottle Necker,With Scoring,200,4 Business Days,$90.92,$90.92,0.45460,200,0,176770,176771,176776,176778,176779,176785,176800,2025-09-04T13:58:36.550181,Extracted using real API endpoints
13,Bottle Neck Hang Tags,"2.125"" x 5""",14 pt. Cardstock Gloss,Front Only,Bottle Necker,With Scoring,250,6 Business Days,$109.73,$109.73,0.43892,250,0,176770,176771,176776,176778,176779,176786,176799,2025-09-04T13:58:36.966245,Extracted using real API endpoints
14,Bottle Neck Hang Tags,"2.125"" x 5""",14 pt. Cardstock Gloss,Front Only,Bottle Necker,With Scoring,250,4 Business Days,$109.73,$109.73,0.43892,250,0,176770,176771,176776,176778,176779,176786,176800,2025-09-04T13:58:37.732254,Extracted using real API endpoints
15,Bottle Neck Hang Tags,"2.125"" x 5""",14 pt. Cardstock Gloss,Front Only,Bottle Necker,With Scoring,500,6 Business Days,$117.89,$117.89,0.23578,500,0,176770,176771,176776,176778,176779,176787,176799,2025-09-04T13:58:38.142066,Extracted using real API endpoints
16,Bottle Neck Hang Tags,"2.125"" x 5""",14 pt. Cardstock Gloss,Front Only,Bottle Necker,With Scoring,500,4 Business Days,$117.89,$117.89,0.23578,500,0,176770,176771,176776,176778,176779,176787,176800,2025-09-04T13:58:39.078487,Extracted using real API endpoints
17,Bottle Neck Hang Tags,"2.125"" x 5""",14 pt. Cardstock Gloss,Front Only,Bottle Necker,With Scoring,"1,000",6 Business Days,$127.50,$127.50,0.12750,1000,0,176770,176771,176776,176778,176779,176788,176799,2025-09-04T13:58:39.483628,Extracted using real API endpoints
18,Bottle Neck Hang Tags,"2.125"" x 5""",14 pt. Cardstock Gloss,Front Only,Bottle Necker,With Scoring,"1,000",4 Business Days,$127.50,$127.50,0.12750,1000,0,176770,176771,176776,176778,176779,176788,176800,2025-09-04T13:58:40.156117,Extracted using real API endpoints
19,Bottle Neck Hang Tags,"2.125"" x 5""",14 pt. Cardstock Gloss,Front Only,Bottle Necker,With Scoring,"2,000",6 Business Days,$206.43,$206.43,0.10322,2000,0,176770,176771,176776,176778,176779,176789,176799,2025-09-04T13:58:40.903846,Extracted using real API endpoints
20,Bottle Neck Hang Tags,"2.125"" x 5""",14 pt. Cardstock Gloss,Front Only,Bottle Necker,With Scoring,"2,000",4 Business Days,$206.43,$206.43,0.10322,2000,0,176770,176771,176776,176778,176779,176789,176800,2025-09-04T13:58:41.327580,Extracted using real API endpoints
21,Bottle Neck Hang Tags,"2.125"" x 5""",14 pt. Cardstock Gloss,Front Only,Bottle Necker,With Scoring,"2,500",6 Business Days,$245.88,$245.88,0.09835,2500,0,176770,176771,176776,176778,176779,176790,176799,2025-09-04T13:58:41.729661,Extracted using real API endpoints
22,Bottle Neck Hang Tags,"2.125"" x 5""",14 pt. Cardstock Gloss,Front Only,Bottle Necker,With Scoring,"2,500",4 Business Days,$245.88,$245.88,0.09835,2500,0,176770,176771,176776,176778,176779,176790,176800,2025-09-04T13:58:42.484754,Extracted using real API endpoints
23,Bottle Neck Hang Tags,"2.125"" x 5""",14 pt. Cardstock Gloss,Front Only,Bottle Necker,With Scoring,"3,000",6 Business Days,$274.08,$274.08,0.09136,3000,0,176770,176771,176776,176778,176779,176791,176799,2025-09-04T13:58:42.882515,Extracted using real API endpoints
24,Bottle Neck Hang Tags,"2.125"" x 5""",14 pt. Cardstock Gloss,Front Only,Bottle Necker,With Scoring,"3,000",4 Business Days,$274.08,$274.08,0.09136,3000,0,176770,176771,176776,176778,176779,176791,176800,2025-09-04T13:58:43.644544,Extracted using real API endpoints
25,Bottle Neck Hang Tags,"2.125"" x 5""",14 pt. Cardstock Gloss,Front Only,Bottle Necker,With Scoring,"4,000",6 Business Days,$330.47,$330.47,0.08262,4000,0,176770,176771,176776,176778,176779,176792,176799,2025-09-04T13:58:44.077657,Extracted using real API endpoints
26,Bottle Neck Hang Tags,"2.125"" x 5""",14 pt. Cardstock Gloss,Front Only,Bottle Necker,With Scoring,"4,000",4 Business Days,$330.47,$330.47,0.08262,4000,0,176770,176771,176776,176778,176779,176792,176800,2025-09-04T13:58:44.519822,Extracted using real API endpoints
27,Bottle Neck Hang Tags,"2.125"" x 5""",14 pt. Cardstock Gloss,Front Only,Bottle Necker,With Scoring,"5,000",6 Business Days,$386.86,$386.86,0.07737,5000,0,176770,176771,176776,176778,176779,176793,176799,2025-09-04T13:58:44.948943,Extracted using real API endpoints
28,Bottle Neck Hang Tags,"2.125"" x 5""",14 pt. Cardstock Gloss,Front Only,Bottle Necker,With Scoring,"5,000",4 Business Days,$386.86,$386.86,0.07737,5000,0,176770,176771,176776,176778,176779,176793,176800,2025-09-04T13:58:45.705400,Extracted using real API endpoints
