combination_id,product_name,Size,Printed Side,Bundling,Quantity,Printing Time,price,total_price,unit_price,qty_pieces,turnaround_days,Size_id,Printed Side_id,Bundling_id,Quantity_id,Printing Time_id,timestamp,notes
1,Flat Greeting Cards,"3.5"" x 5""",Front Only,None,10,3 Business Days,$11.25,$11.25,1.12500,10,3,644,651,68504,114420,669,2025-09-05T23:24:36.786924,Extracted using real API endpoints
2,Flat Greeting Cards,"3.5"" x 5""",Front Only,None,25,3 Business Days,$13.23,$13.23,0.52920,25,3,644,651,68504,1169,669,2025-09-05T23:24:37.575467,Extracted using real API endpoints
3,Flat Greeting Cards,"3.5"" x 5""",Front Only,None,50,3 Business Days,$16.52,$16.52,0.33040,50,3,644,651,68504,1168,669,2025-09-05T23:24:38.004325,Extracted using real API endpoints
4,Flat Greeting Cards,"3.5"" x 5""",Front Only,None,75,3 Business Days,$19.21,$19.21,0.25613,75,3,644,651,68504,1170,669,2025-09-05T23:24:38.444398,Extracted using real API endpoints
5,Flat Greeting Cards,"3.5"" x 5""",Front Only,None,100,3 Business Days,$21.90,$21.90,0.21900,100,3,644,651,68504,653,669,2025-09-05T23:24:39.206574,Extracted using real API endpoints
6,Flat Greeting Cards,"3.5"" x 5""",Front Only,None,125,3 Business Days,$24.59,$24.59,0.19672,125,3,644,651,68504,1171,669,2025-09-05T23:24:39.969104,Extracted using real API endpoints
7,Flat Greeting Cards,"3.5"" x 5""",Front Only,None,150,3 Business Days,$27.28,$27.28,0.18187,150,3,644,651,68504,654,669,2025-09-05T23:24:40.734468,Extracted using real API endpoints
8,Flat Greeting Cards,"3.5"" x 5""",Front Only,None,175,3 Business Days,$29.97,$29.97,0.17126,175,3,644,651,68504,1172,669,2025-09-05T23:24:41.517620,Extracted using real API endpoints
9,Flat Greeting Cards,"3.5"" x 5""",Front Only,None,200,3 Business Days,$32.67,$32.67,0.16335,200,3,644,651,68504,655,669,2025-09-05T23:24:42.278400,Extracted using real API endpoints
10,Flat Greeting Cards,"3.5"" x 5""",Front Only,None,250,3 Business Days,$48.93,$48.93,0.19572,250,3,644,651,68504,1173,669,2025-09-05T23:24:42.713179,Extracted using real API endpoints
11,Flat Greeting Cards,"3.5"" x 5""",Front Only,None,500,3 Business Days,$51.27,$51.27,0.10254,500,3,644,651,68504,656,669,2025-09-05T23:24:43.478104,Extracted using real API endpoints
12,Flat Greeting Cards,"3.5"" x 5""",Front Only,None,"1,000",3 Business Days,$55.95,$55.95,0.05595,1000,3,644,651,68504,657,669,2025-09-05T23:24:43.888215,Extracted using real API endpoints
13,Flat Greeting Cards,"3.5"" x 5""",Front Only,None,"2,000",3 Business Days,$82.99,$82.99,0.04150,2000,3,644,651,68504,658,669,2025-09-05T23:24:44.287229,Extracted using real API endpoints
14,Flat Greeting Cards,"3.5"" x 5""",Front Only,None,"3,000",3 Business Days,$107.62,$107.62,0.03587,3000,3,644,651,68504,659,669,2025-09-05T23:24:45.075123,Extracted using real API endpoints
15,Flat Greeting Cards,"3.5"" x 5""",Front Only,None,"4,000",3 Business Days,$130.65,$130.65,0.03266,4000,3,644,651,68504,660,669,2025-09-05T23:24:47.232878,Extracted using real API endpoints
16,Flat Greeting Cards,"3.5"" x 5""",Front Only,None,"5,000",3 Business Days,$153.67,$153.67,0.03073,5000,3,644,651,68504,661,669,2025-09-05T23:24:47.991098,Extracted using real API endpoints
17,Flat Greeting Cards,"3.5"" x 5""",Front Only,None,"6,000",3 Business Days,$175.62,$175.62,0.02927,6000,3,644,651,68504,662,669,2025-09-05T23:24:48.755109,Extracted using real API endpoints
18,Flat Greeting Cards,"3.5"" x 5""",Front Only,None,"7,000",3 Business Days,$197.58,$197.58,0.02823,7000,3,644,651,68504,663,669,2025-09-05T23:24:49.172861,Extracted using real API endpoints
19,Flat Greeting Cards,"3.5"" x 5""",Front Only,None,"8,000",3 Business Days,$219.53,$219.53,0.02744,8000,3,644,651,68504,664,669,2025-09-05T23:24:49.581338,Extracted using real API endpoints
20,Flat Greeting Cards,"3.5"" x 5""",Front Only,None,"9,000",3 Business Days,$241.48,$241.48,0.02683,9000,3,644,651,68504,665,669,2025-09-05T23:24:49.995125,Extracted using real API endpoints
21,Flat Greeting Cards,"3.5"" x 5""",Front Only,None,"10,000",3 Business Days,$263.44,$263.44,0.02634,10000,3,644,651,68504,666,669,2025-09-05T23:24:50.405138,Extracted using real API endpoints
22,Flat Greeting Cards,"3.5"" x 5""",Front Only,Shrink Wrapping,10,3 Business Days,$29.74,$29.74,2.97400,10,3,644,651,68505,114420,669,2025-09-05T23:24:50.815942,Extracted using real API endpoints
23,Flat Greeting Cards,"3.5"" x 5""",Front Only,Shrink Wrapping,25,3 Business Days,$44.14,$44.14,1.76560,25,3,644,651,68505,1169,669,2025-09-05T23:24:51.218069,Extracted using real API endpoints
24,Flat Greeting Cards,"3.5"" x 5""",Front Only,Shrink Wrapping,50,3 Business Days,$68.15,$68.15,1.36300,50,3,644,651,68505,1168,669,2025-09-05T23:24:51.641166,Extracted using real API endpoints
25,Flat Greeting Cards,"3.5"" x 5""",Front Only,Shrink Wrapping,75,3 Business Days,$91.56,$91.56,1.22080,75,3,644,651,68505,1170,669,2025-09-05T23:24:52.069510,Extracted using real API endpoints
26,Flat Greeting Cards,"3.5"" x 5""",Front Only,Shrink Wrapping,100,3 Business Days,$114.97,$114.97,1.14970,100,3,644,651,68505,653,669,2025-09-05T23:24:52.827378,Extracted using real API endpoints
27,Flat Greeting Cards,"3.5"" x 5""",Front Only,Shrink Wrapping,125,3 Business Days,$138.37,$138.37,1.10696,125,3,644,651,68505,1171,669,2025-09-05T23:24:53.238302,Extracted using real API endpoints
28,Flat Greeting Cards,"3.5"" x 5""",Front Only,Shrink Wrapping,150,3 Business Days,$161.78,$161.78,1.07853,150,3,644,651,68505,654,669,2025-09-05T23:24:54.027235,Extracted using real API endpoints
29,Flat Greeting Cards,"3.5"" x 5""",Front Only,Shrink Wrapping,175,3 Business Days,$185.19,$185.19,1.05823,175,3,644,651,68505,1172,669,2025-09-05T23:24:54.448262,Extracted using real API endpoints
30,Flat Greeting Cards,"3.5"" x 5""",Front Only,Shrink Wrapping,200,3 Business Days,$208.60,$208.60,1.04300,200,3,644,651,68505,655,669,2025-09-05T23:24:54.872454,Extracted using real API endpoints
31,Flat Greeting Cards,"3.5"" x 5""",Front Only,Shrink Wrapping,250,3 Business Days,$266.29,$266.29,1.06516,250,3,644,651,68505,1173,669,2025-09-05T23:24:55.290354,Extracted using real API endpoints
32,Flat Greeting Cards,"3.5"" x 5""",Front Only,Shrink Wrapping,500,3 Business Days,$475.80,$475.80,0.95160,500,3,644,651,68505,656,669,2025-09-05T23:24:55.712389,Extracted using real API endpoints
33,Flat Greeting Cards,"3.5"" x 5""",Front Only,Shrink Wrapping,"1,000",3 Business Days,$894.81,$894.81,0.89481,1000,3,644,651,68505,657,669,2025-09-05T23:24:56.128842,Extracted using real API endpoints
34,Flat Greeting Cards,"3.5"" x 5""",Front Only,Shrink Wrapping,"2,000",3 Business Days,$1750.51,$1750.51,0.87526,2000,3,644,651,68505,658,669,2025-09-05T23:24:56.542332,Extracted using real API endpoints
35,Flat Greeting Cards,"3.5"" x 5""",Front Only,Shrink Wrapping,"3,000",3 Business Days,$2603.80,$2603.80,0.86793,3000,3,644,651,68505,659,669,2025-09-05T23:24:56.949127,Extracted using real API endpoints
36,Flat Greeting Cards,"3.5"" x 5""",Front Only,Shrink Wrapping,"4,000",3 Business Days,$3455.48,$3455.48,0.86387,4000,3,644,651,68505,660,669,2025-09-05T23:24:57.723495,Extracted using real API endpoints
37,Flat Greeting Cards,"3.5"" x 5""",Front Only,Shrink Wrapping,"5,000",3 Business Days,$4307.17,$4307.17,0.86143,5000,3,644,651,68505,661,669,2025-09-05T23:24:58.138822,Extracted using real API endpoints
38,Flat Greeting Cards,"3.5"" x 5""",Front Only,Shrink Wrapping,"6,000",3 Business Days,$5157.78,$5157.78,0.85963,6000,3,644,651,68505,662,669,2025-09-05T23:24:58.556125,Extracted using real API endpoints
39,Flat Greeting Cards,"3.5"" x 5""",Front Only,Shrink Wrapping,"7,000",3 Business Days,$6008.39,$6008.39,0.85834,7000,3,644,651,68505,663,669,2025-09-05T23:24:58.978761,Extracted using real API endpoints
40,Flat Greeting Cards,"3.5"" x 5""",Front Only,Shrink Wrapping,"8,000",3 Business Days,$6859.00,$6859.00,0.85738,8000,3,644,651,68505,664,669,2025-09-05T23:24:59.401187,Extracted using real API endpoints
41,Flat Greeting Cards,"3.5"" x 5""",Front Only,Shrink Wrapping,"9,000",3 Business Days,$7709.61,$7709.61,0.85662,9000,3,644,651,68505,665,669,2025-09-05T23:25:00.167441,Extracted using real API endpoints
42,Flat Greeting Cards,"3.5"" x 5""",Front Only,Shrink Wrapping,"10,000",3 Business Days,$8560.23,$8560.23,0.85602,10000,3,644,651,68505,666,669,2025-09-05T23:25:00.582385,Extracted using real API endpoints
43,Flat Greeting Cards,"3.5"" x 5""",Front and Back,None,10,3 Business Days,$11.85,$11.85,1.18500,10,3,644,652,68504,114420,669,2025-09-05T23:25:00.988750,Extracted using real API endpoints
44,Flat Greeting Cards,"3.5"" x 5""",Front and Back,None,25,3 Business Days,$14.73,$14.73,0.58920,25,3,644,652,68504,1169,669,2025-09-05T23:25:01.415621,Extracted using real API endpoints
45,Flat Greeting Cards,"3.5"" x 5""",Front and Back,None,50,3 Business Days,$19.53,$19.53,0.39060,50,3,644,652,68504,1168,669,2025-09-05T23:25:01.845110,Extracted using real API endpoints
46,Flat Greeting Cards,"3.5"" x 5""",Front and Back,None,75,3 Business Days,$23.42,$23.42,0.31227,75,3,644,652,68504,1170,669,2025-09-05T23:25:02.253004,Extracted using real API endpoints
47,Flat Greeting Cards,"3.5"" x 5""",Front and Back,None,100,3 Business Days,$27.32,$27.32,0.27320,100,3,644,652,68504,653,669,2025-09-05T23:25:02.680290,Extracted using real API endpoints
48,Flat Greeting Cards,"3.5"" x 5""",Front and Back,None,125,3 Business Days,$31.21,$31.21,0.24968,125,3,644,652,68504,1171,669,2025-09-05T23:25:03.432255,Extracted using real API endpoints
49,Flat Greeting Cards,"3.5"" x 5""",Front and Back,None,150,3 Business Days,$35.11,$35.11,0.23407,150,3,644,652,68504,654,669,2025-09-05T23:25:03.863707,Extracted using real API endpoints
50,Flat Greeting Cards,"3.5"" x 5""",Front and Back,None,175,3 Business Days,$39.00,$39.00,0.22286,175,3,644,652,68504,1172,669,2025-09-05T23:25:04.271447,Extracted using real API endpoints
51,Flat Greeting Cards,"3.5"" x 5""",Front and Back,None,200,3 Business Days,$42.90,$42.90,0.21450,200,3,644,652,68504,655,669,2025-09-05T23:25:04.682891,Extracted using real API endpoints
52,Flat Greeting Cards,"3.5"" x 5""",Front and Back,None,250,3 Business Days,$73.48,$73.48,0.29392,250,3,644,652,68504,1173,669,2025-09-05T23:25:05.460955,Extracted using real API endpoints
53,Flat Greeting Cards,"3.5"" x 5""",Front and Back,None,500,3 Business Days,$77.08,$77.08,0.15416,500,3,644,652,68504,656,669,2025-09-05T23:25:05.884678,Extracted using real API endpoints
54,Flat Greeting Cards,"3.5"" x 5""",Front and Back,None,"1,000",3 Business Days,$84.28,$84.28,0.08428,1000,3,644,652,68504,657,669,2025-09-05T23:25:06.642024,Extracted using real API endpoints
55,Flat Greeting Cards,"3.5"" x 5""",Front and Back,None,"2,000",3 Business Days,$121.57,$121.57,0.06079,2000,3,644,652,68504,658,669,2025-09-05T23:25:07.049261,Extracted using real API endpoints
56,Flat Greeting Cards,"3.5"" x 5""",Front and Back,None,"3,000",3 Business Days,$156.46,$156.46,0.05215,3000,3,644,652,68504,659,669,2025-09-05T23:25:07.455752,Extracted using real API endpoints
57,Flat Greeting Cards,"3.5"" x 5""",Front and Back,None,"4,000",3 Business Days,$189.73,$189.73,0.04743,4000,3,644,652,68504,660,669,2025-09-05T23:25:07.880278,Extracted using real API endpoints
58,Flat Greeting Cards,"3.5"" x 5""",Front and Back,None,"5,000",3 Business Days,$223.01,$223.01,0.04460,5000,3,644,652,68504,661,669,2025-09-05T23:25:08.301757,Extracted using real API endpoints
59,Flat Greeting Cards,"3.5"" x 5""",Front and Back,None,"6,000",3 Business Days,$254.41,$254.41,0.04240,6000,3,644,652,68504,662,669,2025-09-05T23:25:08.738647,Extracted using real API endpoints
60,Flat Greeting Cards,"3.5"" x 5""",Front and Back,None,"7,000",3 Business Days,$285.82,$285.82,0.04083,7000,3,644,652,68504,663,669,2025-09-05T23:25:09.172295,Extracted using real API endpoints
61,Flat Greeting Cards,"3.5"" x 5""",Front and Back,None,"8,000",3 Business Days,$317.22,$317.22,0.03965,8000,3,644,652,68504,664,669,2025-09-05T23:25:09.601570,Extracted using real API endpoints
62,Flat Greeting Cards,"3.5"" x 5""",Front and Back,None,"9,000",3 Business Days,$348.63,$348.63,0.03874,9000,3,644,652,68504,665,669,2025-09-05T23:25:10.012833,Extracted using real API endpoints
63,Flat Greeting Cards,"3.5"" x 5""",Front and Back,None,"10,000",3 Business Days,$380.03,$380.03,0.03800,10000,3,644,652,68504,666,669,2025-09-05T23:25:10.449202,Extracted using real API endpoints
64,Flat Greeting Cards,"3.5"" x 5""",Front and Back,Shrink Wrapping,10,3 Business Days,$30.34,$30.34,3.03400,10,3,644,652,68505,114420,669,2025-09-05T23:25:10.883551,Extracted using real API endpoints
65,Flat Greeting Cards,"3.5"" x 5""",Front and Back,Shrink Wrapping,25,3 Business Days,$45.65,$45.65,1.82600,25,3,644,652,68505,1169,669,2025-09-05T23:25:11.297344,Extracted using real API endpoints
66,Flat Greeting Cards,"3.5"" x 5""",Front and Back,Shrink Wrapping,50,3 Business Days,$71.16,$71.16,1.42320,50,3,644,652,68505,1168,669,2025-09-05T23:25:11.722161,Extracted using real API endpoints
67,Flat Greeting Cards,"3.5"" x 5""",Front and Back,Shrink Wrapping,75,3 Business Days,$95.77,$95.77,1.27693,75,3,644,652,68505,1170,669,2025-09-05T23:25:12.148634,Extracted using real API endpoints
68,Flat Greeting Cards,"3.5"" x 5""",Front and Back,Shrink Wrapping,100,3 Business Days,$120.38,$120.38,1.20380,100,3,644,652,68505,653,669,2025-09-05T23:25:12.571993,Extracted using real API endpoints
69,Flat Greeting Cards,"3.5"" x 5""",Front and Back,Shrink Wrapping,125,3 Business Days,$145.00,$145.00,1.16000,125,3,644,652,68505,1171,669,2025-09-05T23:25:13.369551,Extracted using real API endpoints
70,Flat Greeting Cards,"3.5"" x 5""",Front and Back,Shrink Wrapping,150,3 Business Days,$169.61,$169.61,1.13073,150,3,644,652,68505,654,669,2025-09-05T23:25:13.800509,Extracted using real API endpoints
71,Flat Greeting Cards,"3.5"" x 5""",Front and Back,Shrink Wrapping,175,3 Business Days,$194.22,$194.22,1.10983,175,3,644,652,68505,1172,669,2025-09-05T23:25:14.222849,Extracted using real API endpoints
72,Flat Greeting Cards,"3.5"" x 5""",Front and Back,Shrink Wrapping,200,3 Business Days,$218.83,$218.83,1.09415,200,3,644,652,68505,655,669,2025-09-05T23:25:14.651587,Extracted using real API endpoints
