combination_id,product_name,Size,Paper Type,Printed Side,Envelopes,Quantity,Printing Time,price,total_price,unit_price,qty_pieces,turnaround_days,Size_id,Paper Type_id,Printed Side_id,Envelopes_id,Quantity_id,Printing Time_id,timestamp,notes
1,Flat Thank You Cards,"3.5"" x 5""","14 pt. High Gloss (UV) Front, Uncoated Back",Front Only,None,25,3 Business Days,$16.64,$16.64,0.66560,25,0,15621,19403,15627,15706,15633,15644,2025-09-02T17:40:08.872296,Extracted using real API endpoints
2,Flat Thank You Cards,"3.5"" x 5""","14 pt. High Gloss (UV) Front, Uncoated Back",Front Only,None,25,2 Business Days,$16.64,$16.64,0.66560,25,0,15621,19403,15627,15706,15633,15645,2025-09-02T17:40:09.625346,Extracted using real API endpoints
3,Flat Thank You Cards,"3.5"" x 5""","14 pt. High Gloss (UV) Front, Uncoated Back",Front Only,None,50,3 Business Days,$21.59,$21.59,0.43180,50,0,15621,19403,15627,15706,15634,15644,2025-09-02T17:40:10.385318,Extracted using real API endpoints
4,Flat Thank You Cards,"3.5"" x 5""","14 pt. High Gloss (UV) Front, Uncoated Back",Front Only,None,50,2 Business Days,$21.59,$21.59,0.43180,50,0,15621,19403,15627,15706,15634,15645,2025-09-02T17:40:11.137395,Extracted using real API endpoints
5,Flat Thank You Cards,"3.5"" x 5""","14 pt. High Gloss (UV) Front, Uncoated Back",Front Only,None,75,3 Business Days,$26.55,$26.55,0.35400,75,0,15621,19403,15627,15706,15635,15644,2025-09-02T17:40:11.890654,Extracted using real API endpoints
6,Flat Thank You Cards,"3.5"" x 5""","14 pt. High Gloss (UV) Front, Uncoated Back",Front Only,None,75,2 Business Days,$26.55,$26.55,0.35400,75,0,15621,19403,15627,15706,15635,15645,2025-09-02T17:40:12.295061,Extracted using real API endpoints
7,Flat Thank You Cards,"3.5"" x 5""","14 pt. High Gloss (UV) Front, Uncoated Back",Front Only,None,100,3 Business Days,$30.92,$30.92,0.30920,100,0,15621,19403,15627,15706,15636,15644,2025-09-02T17:40:12.691536,Extracted using real API endpoints
8,Flat Thank You Cards,"3.5"" x 5""","14 pt. High Gloss (UV) Front, Uncoated Back",Front Only,None,100,2 Business Days,$30.92,$30.92,0.30920,100,0,15621,19403,15627,15706,15636,15645,2025-09-02T17:40:13.446341,Extracted using real API endpoints
9,Flat Thank You Cards,"3.5"" x 5""","14 pt. High Gloss (UV) Front, Uncoated Back",Front Only,None,125,3 Business Days,$34.72,$34.72,0.27776,125,0,15621,19403,15627,15706,15637,15644,2025-09-02T17:40:14.202257,Extracted using real API endpoints
10,Flat Thank You Cards,"3.5"" x 5""","14 pt. High Gloss (UV) Front, Uncoated Back",Front Only,None,125,2 Business Days,$34.72,$34.72,0.27776,125,0,15621,19403,15627,15706,15637,15645,2025-09-02T17:40:14.604222,Extracted using real API endpoints
