combination_id,product_name,Size,Paper Type,Lamination,Printed Side,Rounded Corners,Envelopes,Quantity,Printing Time,price,total_price,unit_price,qty_pieces,turnaround_days,Size_id,Paper Type_id,Lamination_id,Printed Side_id,Rounded Corners_id,Envelopes_id,Quantity_id,Printing Time_id,timestamp,notes
1,Silk Flat Greeting Cards,"4.25"" x 5.5""",16 pt. Cardstock,Silk,Front Only,No,None,25,6 Business Days,$150.68,$150.68,6.02720,25,6,140703,171365,140709,140710,140712,140716,140722,140732,2025-09-17T13:30:15.307683,Extracted using real API endpoints
2,Silk Flat Greeting Cards,"4.25"" x 5.5""",16 pt. Cardstock,Silk,Front Only,No,None,50,6 Business Days,$159.22,$159.22,3.18440,50,6,140703,171365,140709,140710,140712,140716,140723,140732,2025-09-17T13:30:15.982265,Extracted using real API endpoints
3,Silk Flat Greeting Cards,"4.25"" x 5.5""",16 pt. Cardstock,Silk,Front Only,No,None,75,6 Business Days,$167.77,$167.77,2.23693,75,6,140703,171365,140709,140710,140712,140716,140724,140732,2025-09-17T13:30:16.665529,Extracted using real API endpoints
4,Silk Flat Greeting Cards,"4.25"" x 5.5""",16 pt. Cardstock,Silk,Front Only,No,None,100,6 Business Days,$173.37,$173.37,1.73370,100,6,140703,171365,140709,140710,140712,140716,140725,140732,2025-09-17T13:30:17.060910,Extracted using real API endpoints
5,Silk Flat Greeting Cards,"4.25"" x 5.5""",16 pt. Cardstock,Silk,Front Only,No,None,250,6 Business Days,$177.60,$177.60,0.71040,250,6,140703,171365,140709,140710,140712,140716,140726,140732,2025-09-17T13:30:17.448537,Extracted using real API endpoints
6,Silk Flat Greeting Cards,"4.25"" x 5.5""",16 pt. Cardstock,Silk,Front Only,No,None,500,6 Business Days,$185.76,$185.76,0.37152,500,6,140703,171365,140709,140710,140712,140716,140727,140732,2025-09-17T13:30:18.129928,Extracted using real API endpoints
7,Silk Flat Greeting Cards,"4.25"" x 5.5""",16 pt. Cardstock,Silk,Front Only,No,None,"1,000",6 Business Days,$230.58,$230.58,0.23058,1000,6,140703,171365,140709,140710,140712,140716,140728,140732,2025-09-17T13:30:18.502601,Extracted using real API endpoints
8,Silk Flat Greeting Cards,"4.25"" x 5.5""",16 pt. Cardstock,Silk,Front Only,No,None,"2,500",6 Business Days,$459.03,$459.03,0.18361,2500,6,140703,171365,140709,140710,140712,140716,140729,140732,2025-09-17T13:30:18.895679,Extracted using real API endpoints
9,Silk Flat Greeting Cards,"4.25"" x 5.5""",16 pt. Cardstock,Silk,Front Only,No,None,"5,000",6 Business Days,$755.80,$755.80,0.15116,5000,6,140703,171365,140709,140710,140712,140716,140730,140732,2025-09-17T13:30:19.580589,Extracted using real API endpoints
10,Silk Flat Greeting Cards,"4.25"" x 5.5""",16 pt. Cardstock,Silk,Front Only,No,None,"10,000",6 Business Days,$1462.52,$1462.52,0.14625,10000,6,140703,171365,140709,140710,140712,140716,140731,140732,2025-09-17T13:30:19.965590,Extracted using real API endpoints
11,Silk Flat Greeting Cards,"4.25"" x 5.5""",16 pt. Cardstock,Silk,Front Only,No,"A-2 (4.375"" x 5.75"") White",25,6 Business Days,$150.68,$150.68,6.02720,25,6,140703,171365,140709,140710,140712,140717,140722,140732,2025-09-17T13:30:20.796630,Extracted using real API endpoints
12,Silk Flat Greeting Cards,"4.25"" x 5.5""",16 pt. Cardstock,Silk,Front Only,No,"A-2 (4.375"" x 5.75"") White",50,6 Business Days,$159.22,$159.22,3.18440,50,6,140703,171365,140709,140710,140712,140717,140723,140732,2025-09-17T13:30:21.466378,Extracted using real API endpoints
